"","x"
"1","lh.aparc.a2009s.stats.222.ThickAvg.G_and_S_frontomargin"
"2","lh.aparc.a2009s.stats.223.ThickAvg.G_and_S_occipital_inf"
"3","lh.aparc.a2009s.stats.224.ThickAvg.G_and_S_paracentral"
"4","lh.aparc.a2009s.stats.225.ThickAvg.G_and_S_subcentral"
"5","lh.aparc.a2009s.stats.226.ThickAvg.G_and_S_transv_frontopol"
"6","lh.aparc.a2009s.stats.227.ThickAvg.G_and_S_cingul-Ant"
"7","lh.aparc.a2009s.stats.228.ThickAvg.G_and_S_cingul-Mid-Ant"
"8","lh.aparc.a2009s.stats.229.ThickAvg.G_and_S_cingul-Mid-Post"
"9","lh.aparc.a2009s.stats.230.ThickAvg.G_cingul-Post-dorsal"
"10","lh.aparc.a2009s.stats.231.ThickAvg.G_cingul-Post-ventral"
"11","lh.aparc.a2009s.stats.232.ThickAvg.G_cuneus"
"12","lh.aparc.a2009s.stats.233.ThickAvg.G_front_inf-Opercular"
"13","lh.aparc.a2009s.stats.234.ThickAvg.G_front_inf-Orbital"
"14","lh.aparc.a2009s.stats.235.ThickAvg.G_front_inf-Triangul"
"15","lh.aparc.a2009s.stats.236.ThickAvg.G_front_middle"
"16","lh.aparc.a2009s.stats.237.ThickAvg.G_front_sup"
"17","lh.aparc.a2009s.stats.238.ThickAvg.G_Ins_lg_and_S_cent_ins"
"18","lh.aparc.a2009s.stats.239.ThickAvg.G_insular_short"
"19","lh.aparc.a2009s.stats.240.ThickAvg.G_occipital_middle"
"20","lh.aparc.a2009s.stats.241.ThickAvg.G_occipital_sup"
"21","lh.aparc.a2009s.stats.242.ThickAvg.G_oc-temp_lat-fusifor"
"22","lh.aparc.a2009s.stats.243.ThickAvg.G_oc-temp_med-Lingual"
"23","lh.aparc.a2009s.stats.244.ThickAvg.G_oc-temp_med-Parahip"
"24","lh.aparc.a2009s.stats.245.ThickAvg.G_orbital"
"25","lh.aparc.a2009s.stats.246.ThickAvg.G_pariet_inf-Angular"
"26","lh.aparc.a2009s.stats.247.ThickAvg.G_pariet_inf-Supramar"
"27","lh.aparc.a2009s.stats.248.ThickAvg.G_parietal_sup"
"28","lh.aparc.a2009s.stats.249.ThickAvg.G_postcentral"
"29","lh.aparc.a2009s.stats.250.ThickAvg.G_precentral"
"30","lh.aparc.a2009s.stats.251.ThickAvg.G_precuneus"
"31","lh.aparc.a2009s.stats.252.ThickAvg.G_rectus"
"32","lh.aparc.a2009s.stats.253.ThickAvg.G_subcallosal"
"33","lh.aparc.a2009s.stats.254.ThickAvg.G_temp_sup-G_T_transv"
"34","lh.aparc.a2009s.stats.255.ThickAvg.G_temp_sup-Lateral"
"35","lh.aparc.a2009s.stats.256.ThickAvg.G_temp_sup-Plan_polar"
"36","lh.aparc.a2009s.stats.257.ThickAvg.G_temp_sup-Plan_tempo"
"37","lh.aparc.a2009s.stats.258.ThickAvg.G_temporal_inf"
"38","lh.aparc.a2009s.stats.259.ThickAvg.G_temporal_middle"
"39","lh.aparc.a2009s.stats.260.ThickAvg.Lat_Fis-ant-Horizont"
"40","lh.aparc.a2009s.stats.261.ThickAvg.Lat_Fis-ant-Vertical"
"41","lh.aparc.a2009s.stats.262.ThickAvg.Lat_Fis-post"
"42","lh.aparc.a2009s.stats.263.ThickAvg.Pole_occipital"
"43","lh.aparc.a2009s.stats.264.ThickAvg.Pole_temporal"
"44","lh.aparc.a2009s.stats.265.ThickAvg.S_calcarine"
"45","lh.aparc.a2009s.stats.266.ThickAvg.S_central"
"46","lh.aparc.a2009s.stats.267.ThickAvg.S_cingul-Marginalis"
"47","lh.aparc.a2009s.stats.268.ThickAvg.S_circular_insula_ant"
"48","lh.aparc.a2009s.stats.269.ThickAvg.S_circular_insula_inf"
"49","lh.aparc.a2009s.stats.270.ThickAvg.S_circular_insula_sup"
"50","lh.aparc.a2009s.stats.271.ThickAvg.S_collat_transv_ant"
"51","lh.aparc.a2009s.stats.272.ThickAvg.S_collat_transv_post"
"52","lh.aparc.a2009s.stats.273.ThickAvg.S_front_inf"
"53","lh.aparc.a2009s.stats.274.ThickAvg.S_front_middle"
"54","lh.aparc.a2009s.stats.275.ThickAvg.S_front_sup"
"55","lh.aparc.a2009s.stats.276.ThickAvg.S_interm_prim-Jensen"
"56","lh.aparc.a2009s.stats.277.ThickAvg.S_intrapariet_and_P_trans"
"57","lh.aparc.a2009s.stats.278.ThickAvg.S_oc_middle_and_Lunatus"
"58","lh.aparc.a2009s.stats.279.ThickAvg.S_oc_sup_and_transversal"
"59","lh.aparc.a2009s.stats.280.ThickAvg.S_occipital_ant"
"60","lh.aparc.a2009s.stats.281.ThickAvg.S_oc-temp_lat"
"61","lh.aparc.a2009s.stats.282.ThickAvg.S_oc-temp_med_and_Lingual"
"62","lh.aparc.a2009s.stats.283.ThickAvg.S_orbital_lateral"
"63","lh.aparc.a2009s.stats.284.ThickAvg.S_orbital_med-olfact"
"64","lh.aparc.a2009s.stats.285.ThickAvg.S_orbital-H_Shaped"
"65","lh.aparc.a2009s.stats.286.ThickAvg.S_parieto_occipital"
"66","lh.aparc.a2009s.stats.287.ThickAvg.S_pericallosal"
"67","lh.aparc.a2009s.stats.288.ThickAvg.S_postcentral"
"68","lh.aparc.a2009s.stats.289.ThickAvg.S_precentral-inf-part"
